feature,importance
value,479
selected,381
xP,296
total_points,290
round,286
GW,232
transfers_out,200
points_per_minute,193
transfers_in,185
clean_sheets_ewma_5gw,175
transfers_balance,171
bps,166
goals_conceded_roll_std_10gw,165
minutes,157
creativity,156
minutes_roll_std_10gw,155
creativity_trajectory,142
influence,127
expected_goals_conceded_roll_std_10gw,125
goals_conceded_ewma_5gw,125
bps_roll_std_5gw,125
bps_roll_std_3gw,125
ict_index_roll_std_10gw,123
assists_ewma_5gw,122
ict_index_roll_std_5gw,119
total_points_roll_std_10gw,119
creativity_roll_std_10gw,117
total_points_roll_mean_10gw,115
expected_goals_conceded,113
creativity_roll_mean_10gw,112
threat_roll_std_10gw,110
threat_roll_mean_10gw,110
influence_roll_std_10gw,109
bps_roll_mean_10gw,107
influence_roll_std_3gw,105
ict_index,104
minutes_trajectory,104
minutes_roll_mean_10gw,102
bonus_ewma_5gw,102
threat_roll_mean_5gw,101
threat_roll_std_5gw,100
bps_roll_mean_5gw,99
ict_index_roll_mean_10gw,99
threat_roll_std_3gw,98
total_points_trajectory,97
ict_index_roll_std_3gw,97
threat_trajectory,97
goals_conceded_roll_mean_10gw,96
bps_roll_std_10gw,95
threat,94
mid_composite,94
influence_roll_std_5gw,93
creativity_roll_std_5gw,93
goals_conceded_trajectory,93
creativity_roll_mean_5gw,93
creativity_roll_std_3gw,92
expected_goals_conceded_lag_2gw,89
def_composite,89
creativity_ewma_5gw,88
goals_conceded_roll_std_5gw,88
goals_conceded_roll_std_3gw,87
creativity_lag_2gw,87
total_points_roll_std_3gw,87
creativity_lag_1gw,86
expected_goals_conceded_trajectory,85
influence_trajectory,85
influence_roll_mean_5gw,84
minutes_ewma_5gw,84
expected_goals_conceded_lag_1gw,84
expected_goals_conceded_roll_std_3gw,84
bps_roll_mean_3gw,82
minutes_roll_std_5gw,81
goals_scored_ewma_5gw,81
goal_involvement_rate,81
expected_goal_involvements,80
points_per_million_3gw,80
bps_trajectory,79
total_points_roll_std_5gw,79
ict_index_trajectory,78
expected_assists_trajectory,78
expected_goals_conceded_roll_mean_10gw,78
bonus_roll_std_10gw,77
minutes_roll_std_3gw,77
total_points_ewma_5gw,77
clean_sheets_roll_std_10gw,76
expected_assists_roll_mean_5gw,76
points_per_million_5gw,75
expected_goals_conceded_roll_std_5gw,75
influence_roll_mean_10gw,75
threat_ewma_5gw,74
expected_assists_roll_std_10gw,73
minutes_roll_mean_5gw,70
creativity_roll_mean_3gw,70
expected_assists_roll_mean_10gw,69
ict_index_roll_mean_5gw,69
expected_goal_involvements_roll_std_10gw,67
influence_lag_1gw,66
ict_index_roll_mean_3gw,65
fwd_composite,65
expected_goals_conceded_roll_mean_5gw,65
threat_lag_1gw,64
expected_goals_trajectory,64
influence_roll_mean_3gw,64
expected_goals_conceded_roll_mean_3gw,63
ict_index_lag_2gw,63
influence_ewma_5gw,62
value_per_point,62
team_h_score,61
bps_ewma_5gw,60
influence_lag_2gw,60
ict_index_ewma_5gw,60
expected_assists,60
goals_conceded_roll_mean_5gw,60
minutes_lag_1gw,59
threat_lag_2gw,58
expected_goals_roll_mean_10gw,58
defensive_contribution,57
ict_index_lag_1gw,57
assists_roll_std_10gw,57
threat_roll_mean_3gw,56
recoveries,56
expected_goals_roll_std_10gw,56
expected_goal_involvements_trajectory,55
minutes_roll_mean_3gw,55
expected_goals_roll_std_5gw,54
expected_goal_involvements_roll_std_5gw,54
home_form_interaction,53
expected_goal_involvements_roll_mean_10gw,52
expected_goals,50
bps_lag_2gw,47
expected_assists_roll_std_5gw,46
bps_lag_1gw,45
expected_assists_ewma_5gw,45
expected_assists_roll_std_3gw,45
expected_goals_roll_mean_3gw,44
expected_goals_conceded_ewma_5gw,44
expected_goals_roll_std_3gw,41
clean_sheets_roll_mean_10gw,41
expected_goals_ewma_5gw,41
bonus_roll_mean_10gw,39
expected_goal_involvements_ewma_5gw,39
expected_goal_involvements_roll_std_3gw,39
expected_goals_lag_2gw,38
total_points_roll_mean_5gw,37
goals_conceded,35
expected_goal_involvements_roll_mean_5gw,35
clearances_blocks_interceptions,35
expected_assists_lag_2gw,35
expected_goal_involvements_lag_1gw,34
bonus_trajectory,34
expected_assists_roll_mean_3gw,34
bonus_roll_std_5gw,33
assists_roll_mean_10gw,33
red_cards,33
saves_ewma_5gw,33
expected_goals_roll_mean_5gw,32
expected_assists_lag_1gw,32
goals_conceded_lag_1gw,32
total_points_lag_1gw,30
clean_sheets_trajectory,30
assists_roll_std_3gw,29
goals_conceded_roll_mean_3gw,29
saves,29
team_a_score,27
tackles,27
expected_goal_involvements_lag_2gw,26
total_points_lag_2gw,25
saves_roll_std_10gw,25
assists_trajectory,25
expected_goals_lag_1gw,25
expected_goal_involvements_roll_mean_3gw,25
minutes_lag_2gw,24
starts,21
total_points_roll_mean_3gw,21
goals_scored_roll_std_10gw,19
goals_scored_trajectory,19
goals_scored_roll_mean_10gw,18
assists,18
assists_roll_std_5gw,16
saves_roll_mean_10gw,15
saves_roll_std_5gw,15
clean_sheets_roll_mean_5gw,14
assists_roll_mean_5gw,14
gk_composite,12
goals_conceded_lag_2gw,12
bonus_roll_std_3gw,12
bonus_roll_mean_3gw,11
bonus_roll_mean_5gw,11
bonus_frequency,10
bonus,9
saves_lag_1gw,8
clean_sheets_roll_std_3gw,8
is_starter,8
goals_scored_roll_std_5gw,7
saves_roll_std_3gw,7
clean_sheets_roll_std_5gw,7
assists_lag_1gw,7
goals_scored_roll_mean_5gw,7
clean_sheets,7
clean_sheets_roll_mean_3gw,7
clean_sheets_lag_2gw,7
assists_roll_mean_3gw,6
saves_trajectory,6
clean_sheets_lag_1gw,6
was_home_True,6
goals_scored_roll_std_3gw,5
bonus_lag_2gw,4
goals_scored_lag_1gw,4
bonus_lag_1gw,4
yellow_cards,4
saves_roll_mean_5gw,4
goals_scored,3
goals_scored_roll_mean_3gw,2
saves_lag_2gw,2
penalties_missed,1
own_goals,1
goals_scored_lag_2gw,1
saves_roll_mean_3gw,1
assists_lag_2gw,1
penalties_saved,0
