n_features,rmse,mae,spearman
10,3.4173203809572295,1.96943474048791,0.7803476099809338
20,3.4044566657024915,1.9579294418121094,0.7825536165882611
30,3.3911664473446548,1.9583577305695181,0.7856628350017741
40,3.3866825686717057,1.9565487867695437,0.7838405710091813
50,3.3850714953225522,1.9557090131612944,0.7839632421065865
75,3.3855833511669005,1.9612246701130995,0.7839629991262748
100,3.3782987629808505,1.9588811290310164,0.7841117492975059
150,3.381311719857299,1.9613209872122315,0.7828265840923527
220,3.3845790391369843,1.9676580253556075,0.7829101231748681
